"PIT_number","tag_date","tag_doy","tag_year","tag_loc","tag_length","tag_length_c","rc_date","rc_doy","rc_year","rc_loc_1","rc_loc_2","rc_length","rc_length_c","days","growth","growth_d"
"226000220637",2017-04-21,111,"2017","R3S2",74,-1.50282412781777,2017-05-04,124,"2017","3","R3S2",82,-0.902714050826054,13,8,0.615384615384615
"226000220627",2017-04-09,99,"2017","R5S2",73,-1.57783788744173,2017-05-09,129,"2017","3","R3S4",84,-0.752686531578126,30,11,0.366666666666667
"226000220349",2017-05-10,130,"2017","R3S2",81,-0.977727810450018,2017-05-13,133,"2017","3","R3S3",81,-0.977727810450018,3,0,0
"226000800550",2017-04-18,108,"2017","smolt trap",80,-1.05274157007398,2017-05-17,137,"2017","3","R3S4",89,-0.377617733458305,29,9,0.310344827586207
"226000220348",2017-05-13,133,"2017","R3S3",75,-1.4278103681938,2017-05-17,137,"2017","3","R3S4",75,-1.57783788744173,4,0,0
"226000953698",2017-05-13,133,"2017","smolt trap",96,0.147478583909445,2017-05-19,139,"2017","1","R1S3",100,0.447533622405301,6,4,0.666666666666667
"226000220608",2017-05-09,129,"2017","R3S4",76,-1.35279660856984,2017-05-20,140,"2017","3","R3S2",81,-0.977727810450018,11,5,0.454545454545455
"226000220342",2017-05-10,130,"2017","R5S1",118,1.79778129563666,2017-05-20,140,"2017","5","R5S1",119,1.87279505526062,10,1,0.1
"226000220337",2017-05-10,130,"2017","R5S1",95,0.0724648242854804,2017-05-20,140,"2017","5","R5S1",95,-0.077562694962448,10,0,0
"226000221440",2017-05-09,129,"2017","R4S1",85,-0.677672771954162,2017-05-21,141,"2017","3","R3S4",90,-0.302603973834341,12,5,0.416666666666667
"226000954338",2017-05-19,139,"2017","R2S2",96,0.147478583909445,2017-05-21,141,"2017","3","R3S1",96,0.0724648242854804,2,0,0
"226000221409",2017-05-09,129,"2017","R4S1",87,-0.527645252706233,2017-05-21,141,"2017","3","R3S1",93,-0.077562694962448,12,6,0.5
"226000953623",2017-05-13,133,"2017","smolt trap",86,-0.602659012330197,2017-05-21,141,"2017","3","R3S1",86,-0.602659012330197,8,0,0
"226000953510",2017-05-14,134,"2017","smolt trap",71,-1.72786540668966,2017-05-21,141,"2017","3","R3S1",74,-1.50282412781777,7,3,0.428571428571429
"226000954030",2017-05-16,136,"2017","smolt trap",108,1.04764369939701,2017-05-22,142,"2017","5","R5S4",112,1.34769873789287,6,4,0.666666666666667
"226000954689",2017-05-18,138,"2017","smolt trap",98,0.297506103157373,2017-05-22,142,"2017","5","R5S4",102,0.59756114165323,4,4,1
"226000953501",2017-05-13,133,"2017","smolt trap",87,-0.527645252706233,2017-05-22,142,"2017","5","R5S4",91,-0.227590214210376,9,4,0.444444444444444
"226000953265",2017-05-20,140,"2017","R5S1",81,-0.977727810450018,2017-05-29,149,"2017","5","R5S1",90,-0.302603973834341,9,9,1
"226000221280",2017-05-25,145,"2017","smolt trap",116,1.64775377638873,2017-05-29,149,"2017","1","R1S3",117,1.72276753601269,4,1,0.25
