"date","doy","sp","location","tag_year","recap_year","length","PIT_number","initial","recap","notes","surv"
2017-04-06,96,"CO","smolt trap","2017",NA,80,"226000800572","1","0",NA,0
2017-04-06,96,"CO","smolt trap","2017",NA,80,"226000800515","1","0",NA,0
2017-04-06,96,"CO","smolt trap","2017",NA,87,"226000800661","1","0",NA,0
2017-04-06,96,"CO","smolt trap","2017",NA,90,"226000800602","1","0",NA,0
2017-04-11,101,"CO","smolt trap","2017",NA,82,"226000879417","1","0",NA,0
2017-04-12,102,"CO","smolt trap","2017",NA,103,"226000800703","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,73,"226000879493","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,74,"226000879000","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,71,"226000879299","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,87,"226000879250","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,84,"226000879253","1","0",NA,0
2017-04-15,105,"CO","smolt trap","2017",NA,74,"226000879301","1","0",NA,0
2017-04-16,106,"CO","smolt trap","2017",NA,74,"226000800514","1","0",NA,0
2017-04-16,106,"CO","smolt trap","2017",NA,77,"226000800698","1","0",NA,0
2017-04-16,106,"CO","smolt trap","2017",NA,76,"226000800619","1","0",NA,0
2017-04-16,106,"CO","smolt trap","2017",NA,82,"226000800606","1","0",NA,0
2017-04-16,106,"CO","smolt trap","2017",NA,112,"226000800663","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,89,"226000800622","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,70,"226000800620","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,100,"226000800690","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,74,"226000800500","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,80,"226000800516","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,125,"226000800722","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,90,"226000800529","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,76,"226000800560","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,75,"226000800626","1","0",NA,0
2017-04-17,107,"CO","smolt trap","2017",NA,74,"226000800553","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,69,"226000800702","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,84,"226000800507","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,80,"226000800643","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,84,"226000800521","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,70,"226000800583","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,72,"226000800528","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,80,"226000800550","1","0",NA,0
2017-04-18,108,"CO","smolt trap","2017",NA,87,"226000800591","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,73,"226000800552","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,88,"226000800646","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,78,"226000800670","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,73,"226000800565","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,79,"226000800598","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,81,"226000800508","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,102,"226000800717","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,86,"226000800524","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,90,"226000800527","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,80,"226000800590","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017","2018",99,"226000800724","1","0",NA,1
2017-04-19,109,"CO","smolt trap","2017",NA,81,"226000800686","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,76,"226000800675","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,78,"226000800567","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,127,"226000800651","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,80,"226000800502","1","0",NA,0
2017-04-19,109,"CO","smolt trap","2017",NA,80,"226000800695","1","0",NA,0
