year,doy,n_sets
2017,93,7
2017,95,3
2017,99,7
2017,109,7
2017,110,6
2017,111,5
2017,112,6
2017,119,2
2017,120,7
2017,121,8
2017,122,5
2017,124,3
2017,129,4
2017,130,4
2017,131,3
2017,133,4
2017,135,4
2017,136,1
2017,137,2
2017,139,8
2017,140,5
2017,141,4
2017,142,2
2017,149,4
2017,150,7
2017,151,6
2017,159,7
2017,162,10
2017,164,3
2017,169,6
2018,106,3
2018,107,6
2018,108,8
2018,114,1
2018,121,10
2018,122,6
2018,126,2
2018,127,1
2018,135,14
2018,136,4
2018,137,1
2018,138,1
2018,155,12
2018,157,7
2018,166,9
2018,167,6
2018,168,4
2019,114,3
2019,115,4
2019,116,4
2019,119,5
2019,121,2
2019,122,4
2019,125,1
2019,126,1
2019,127,3
2019,129,5
2019,130,5
2019,131,2
2019,132,2
2019,138,3
2019,139,7
2019,140,5
2019,142,4
2019,146,2
2019,148,4
2019,150,3
2019,156,3
2019,159,3
2019,163,2
2019,164,9
2019,166,6
2019,167,1
2019,169,1
